1613143175.582432,0
1613143175.689196,48
1613143175.804486,58
1613143175.917003,64
1613143176.037107,76
1613143176.156787,82
1613143176.272760,90
1613143176.388785,97
1613143176.496137,103
1613143176.607092,109
1613143176.713527,119
1613143176.824787,130
1613143176.935668,134
1613143177.054047,138
1613143177.170318,144
1613143177.287395,145
1613143177.404087,150
1613143177.520808,157
1613143177.640583,169
1613143177.764460,175
1613143177.876385,180
1613143177.997416,188
1613143178.125094,195
1613143178.232388,203
1613143178.362202,210
1613143178.467395,219
1613143178.577878,222
1613143178.683498,229
1613143178.800417,235
1613143178.916945,242
1613143179.034383,250
1613143179.146952,255
1613143179.267667,255
1613143179.387385,257
1613143179.495087,263
1613143179.601631,271
1613143179.711858,276
1613143179.821658,284
1613143179.930349,291
1613143180.038243,299
1613143180.144894,304
1613143180.253432,309
1613143180.366077,316
1613143180.478738,321
1613143180.584508,329
1613143180.701922,336
1613143180.826453,344
1613143180.954898,357
1613143181.072742,366
1613143181.183110,376
1613143181.291647,383
1613143181.398135,391
1613143181.506733,398
1613143181.617554,408
1613143181.730869,415
1613143181.849341,422
1613143181.967732,429
1613143182.082805,436
1613143182.206885,445
1613143182.321760,453
1613143182.439728,460
1613143182.551892,468
1613143182.696664,479
1613143182.807655,480
1613143182.914514,483
1613143183.024773,487
1613143183.131032,497
1613143183.241791,504
1613143183.347351,511
1613143183.463075,517
1613143183.582119,526
1613143183.699950,533
1613143183.818396,542
1613143183.937952,551
1613143184.045015,557
1613143184.149310,564
1613143184.262235,569
1613143184.373376,575
1613143184.490174,583
1613143184.605533,587
1613143184.717510,597
1613143184.828398,605
1613143184.944125,613
1613143185.056943,619
1613143185.175439,626
1613143185.280122,635
1613143185.407297,641
1613143185.513395,650
1613143185.618794,656
1613143185.734303,664
1613143185.847390,670
1613143185.965790,674
1613143186.075194,681
1613143186.197927,687
1613143186.319531,696
1613143186.426550,705
1613143186.530879,712
1613143186.637665,718
1613143186.752007,723
1613143186.863301,732
1613143186.981451,741
1613143187.092608,748
1613143187.224914,756
1613143187.329676,765
1613143187.441850,772
1613143187.567777,780
1613143187.678860,786
1613143187.791614,794
1613143187.901659,801
1613143188.011738,809
1613143188.124969,817
1613143188.237545,826
1613143188.355164,833
1613143188.463752,841
1613143188.575219,848
1613143188.692911,855
1613143188.801768,862
1613143188.923584,870
1613143189.035477,879
1613143189.158744,887
1613143189.279012,893
1613143189.391092,902
1613143189.499498,911
